Package,LibPath,Version,Priority,Built
tidyverse,C:/Program Files/R/R-3.3.3/library,1.2.1,NA,3.3.3
timeDate,C:/Program Files/R/R-3.3.3/library,3012.100,NA,3.3.3
tools,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
translations,C:/Program Files/R/R-3.3.3/library,3.3.3,NA,3.3.3
tseries,C:/Program Files/R/R-3.3.3/library,0.10-42,NA,3.3.3
TTR,C:/Program Files/R/R-3.3.3/library,0.23-2,NA,3.3.3
usethis,C:/Program Files/R/R-3.3.3/library,1.2.0,NA,3.3.3
utf8,C:/Program Files/R/R-3.3.3/library,1.1.3,NA,3.3.3
utils,C:/Program Files/R/R-3.3.3/library,3.3.3,base,3.3.3
viridisLite,C:/Program Files/R/R-3.3.3/library,0.2.0,NA,3.3.3
whisker,C:/Program Files/R/R-3.3.3/library,0.3-2,NA,3.3.3
withr,C:/Program Files/R/R-3.3.3/library,2.1.1,NA,3.3.3
xml2,C:/Program Files/R/R-3.3.3/library,1.2.0,NA,3.3.3
xtable,C:/Program Files/R/R-3.3.3/library,1.8-2,NA,3.3.3
xts,C:/Program Files/R/R-3.3.3/library,0.10-0,NA,3.3.3
yaml,C:/Program Files/R/R-3.3.3/library,2.1.14,NA,3.3.3
zoo,C:/Program Files/R/R-3.3.3/library,1.8-0,NA,3.3.3
